,Sno.,Star_name,Star_distance,Star_mass,Star_radius
229,17.0,SDSS J020742.48+000056.2 [de],0.09968011,0.044865636,111
230,,,,,
231,18.0,2MASS J02103857-3015313,0.15722739,0.01431882,101
232,,,,,
233,19.0,2MASS J02340093-6442068,0.16647606,0.01909176,155
234,,,,,
235,20.0,2MASS J02411151-0326587 [de],0.14489583,0.025773876,152
236,,,,,
237,21.0,2MASS J02431371−2453298,0.10173537,0.031501404,35
238,,,,,
239,22.0,LP 771-21,0.11098404,0.074457864,53
240,,,,,
241,23.0,Teegarden's star,0.13050901,0.07636704,12.578
242,,,,,
243,24.0,2MASS J02535980+3206373,0.1952497,0.06204822,184
244,,,,,
245,25.0,WISE J0254+0223,0.1952497,0.06204822,24
246,,,,,
247,26.0,DEN 0255-4700,0.09968011,0.07636704,16.2
248,,,,,
249,27.0,2MASS J03185403-3421292 [de],0.09968011,0.046774812,45
250,,,,,
251,28.0,2MASS J03205965+1854233,0.11817745,0.084003744,47
252,,,,,
253,29.0,2MASS J03231002-4631237,0.17058658,0.021955524,192
254,,,,,
255,30.0,SDSS J032553.17+042540.1,0.09762485,0.04295646,59
256,,,,,
257,31.0,2MASS J03264225-2102057 [de],0.1335919,0.017182584,80
258,,,,,
259,32.0,2MASS J03284265+2302051 [de],0.10070774,0.051547752,98
260,,,,,
261,33.0,2MASS J03341218-4953322,0.10687352,0.069684924,27
262,,,,,
263,34.0,LP 944-20,0.14695109,0.069684924,20.9
264,,,,,
265,35.0,2MASP J0345432+254023,0.10790115,0.070639512,88
266,,,,,
267,36.0,Teide 1,0.38844414,0.05250234,380
268,,,,,
269,37.0,2MASS J03510004-0052452,0.13050901,0.097367976,48
270,,,,,
271,38.0,2MASS J03552337+1133437,0.13564716,0.01909176,29.8
272,,,,,
273,39.0,2MASS J04151954−0935066,0.09762485,0.02863764,18.6
274,,,,,
275,40.0,2MASS J04285096-2253227 [de],0.11201167,0.07636704,85
276,,,,,
277,41.0,2MASS J04351612-1606574,0.12948138,0.0954588,34
278,,,,,
279,42.0,2MASS J04362788-4114465,0.20244311,0.037228932,142
280,,,,,
281,43.0,2MASS J04390101-2353083 [de],0.09968011,0.045820224,29.5
282,,,,,
283,44.0,2MASS J04433764+0002040,0.18291814,0.021000936,82
284,,,,,
285,45.0,2MASS J04455387-3048204 [de],0.102763,0.061093632,42
286,,,,,
287,46.0,2MASS J04510093-3402150 [de],0.10687352,0.068730336,69
288,,,,,
289,47.0,2MASS J05002100+0330501 [de],0.102763,0.061093632,44
290,,,,,
291,48.0,2MASS J05012406-0010452 [de],0.14181294,0.020046348,64
292,,,,,
293,49.0,2MASS J05160945-0445499 [de],0.09968011,0.044865636,73
294,,,,,
295,50.0,2MASS J0523−1403,0.10379063,0.064911984,40
296,,,,,
297,51.0,SDSS J053951.99-005902.0,0.10379063,0.058229868,41.62
298,,,,,
299,52.0,LSR 0602+3910 [de],0.14489583,0.026728464,34.6
300,,,,,
301,53.0,2MASS J06085283-2753583,0.15517213,0.036274344,102
302,,,,,
303,54.0,2MASS J06244595-4521548 [de],0.10173537,0.053456928,39
304,,,,,
305,55.0,2MASS J06411840-4322329 [de],0.10379063,0.063957396,65
306,,,,,
307,56.0,DENIS-P J0652197-253450 [de],0.10790115,0.0715941,51
308,,,,,
309,57.0,2MASS J07075327-4900503,0.10584589,0.068730336,60
310,,,,,
311,58.0,UGPS J072227.51-054031.2,0.10070774,0.024819288,13.4
312,,,,,
313,59.0,2MASSI J0727182+171001 [de],0.09659722,0.039138108,29.6
314,,,,,
315,60.0,2MASS J07290002-3954043 [de],0.09659722,0.035319756,25.8
316,,,,,
317,61.0,SDSS J074201.41+205520.5 [de],0.09659722,0.041047284,49
318,,,,,
319,62.0,DENIS-P J0751164-253043 [de],0.10584589,0.067775748,55
320,,,,,
321,63.0,2MASS J07522390+1612157,0.20655363,0.064911984,60
322,,,,,
323,64.0,DENIS J081730.0-615520,0.09659722,0.042001872,16.1
324,,,,,
325,65.0,2MASS J08251968+2115521 [de],0.10070774,0.049638576,35
326,,,,,
327,66.0,SDSSp J083008.12+482847.4 [de],0.10173537,0.045820224,43
328,,,,,
329,67.0,LHS 2021,0.11817745,0.084003744,55
330,,,,,
331,68.0,SDSS J083048.80+012831.1 [de],0.09865248,0.043911048,77
332,,,,,
333,69.0,2MASSI J0835425-081923 [de],0.102763,0.059184456,23.53
334,,,,,
335,70.0,2MASSI J0847287-153237 [de],0.102763,0.061093632,43
336,,,,,
337,71.0,2MASS J08533619-0329321,0.10995641,0.073503276,27.6
338,,,,,
339,72.0,2MASSI J0859254-194926 [de],0.10070774,0.0477294,50
340,,,,,
341,73.0,2MASSI J0937347+293142,0.09659722,0.040092696,20
342,,,,,
343,74.0,2MASS 0939−2448,0.09762485,0.030546816,17.4
344,,,,,
345,75.0,2MASS J09490860-1545485 [de],0.09865248,0.046774812,59
346,,,,,
347,76.0,2MASS J10073369-4555147,0.09659722,0.042001872,46
348,,,,,
349,77.0,2MASSI J1010148-040649 [de],0.10070774,0.048683988,55
350,,,,,
351,78.0,2MASS J10224821+5825453 [de],0.14489583,0.025773876,60
352,,,,,
353,79.0,2MASSW J1036530-344138 [de],0.09968011,0.046774812,53
354,,,,,
355,80.0,2MASS J1047538+212423 [de],0.09659722,0.040092696,34.4
356,,,,,
357,81.0,DEN 1048-3956,0.10995641,0.073503276,13.15
358,,,,,
359,82.0,Luhman 16B,0.10481826,0.041047284,6.516
360,,,,,
361,83.0,Luhman 16A,0.10379063,0.03818352,6.516
362,,,,,
363,84.0,DENIS-P J1058.7−1548,0.102763,0.061093632,49
364,,,,,
365,85.0,TWA 28,0.24560357,0.034365168,180
366,,,,,
367,86.0,Cha 110913-773444,0.1849734,0.007636704,163
368,,,,,
369,87.0,SDSS J111010.01+011613.1,0.12742612,0.008591292,63
370,,,,,
371,88.0,2MASS J11145133−2618235,0.09865248,0.031501404,18.2
372,,,,,
373,89.0,TWA 26,0.2260786,0.02863764,137
374,,,,,
375,90.0,2MASS J11544223-3400390 [de],0.1541445,0.035319756,129
376,,,,,
377,91.0,2MASSW J1155395-372735 [de],0.102763,0.061093632,31
378,,,,,
379,92.0,2MASS J12074836-3900043,0.17572473,0.016227996,217
380,,,,,
381,93.0,2MASSI J1217110-031113 [de],0.09659722,0.040092696,36
382,,,,,
383,94.0,2M 1237+6526,0.09659722,0.039138108,45.6
384,,,,,
385,95.0,TWA 29,0.205526,0.0238647,262
386,,,,,
387,96.0,SDSSp J125453.90-012247.4 [de],0.10070774,0.044865636,38
388,,,,,
389,97.0,Kelu-1A,0.10070774,0.060139044,61
390,,,,,
391,98.0,Kelu-1B,0.10070774,0.055366104,61
392,,,,,
393,99.0,2MASS J13204427+0409045,0.10379063,0.063957396,101
394,,,,,
395,100.0,SDSSp J132629.82-003831.5 [de],0.09968011,0.048683988,65
396,,,,,
397,101.0,SDSSp J134646.45-003150.4 [de],0.09659722,0.042001872,48
398,,,,,
399,102.0,2MASS J13595510-4034582,0.102763,0.060139044,51
400,,,,,
401,103.0,ULAS J141623.94+134836.3,0.09865248,0.030546816,29.7
402,,,,,
403,104.0,SDSS J141659.78+500626.4 [de],0.10173537,0.056320692,149
404,,,,,
405,105.0,DENIS-P J142527.97-365023.4 [de],0.13564716,0.020046348,38
406,,,,,
407,106.0,LHS 2924,0.10892878,0.072548688,38.5
408,,,,,
409,107.0,2MASS J14392837+1929150,0.10584589,0.068730336,47
410,,,,,
411,108.0,LSPM J1440+1339,0.12228797,0.087822096,72
412,,,,,
413,109.0,2MASS J14482563+1031590 [de],0.10173537,0.056320692,47
414,,,,,
415,110.0,CFBDSIR 1458+10A,0.1541445,0.010595927,104
416,,,,,
417,111.0,CFBDSIR 1458+10B,0.1335919,0.008591292,104
418,,,,,
419,112.0,TVLM 513-46546,0.10790115,0.0715941,35.1
420,,,,,
421,113.0,2MASS 1503+2525,0.09659722,0.042001872,20.7
422,,,,,
423,114.0,CFBDS J150411+102717,0.09659722,0.042001872,71
424,,,,,
425,115.0,2MASSW J1506544+132106 [de],0.10481826,0.065866572,46
426,,,,,
427,116.0,2MASS 1507−1627,0.10173537,0.05727528,23.9
428,,,,,
429,117.0,TVLM 868-110639,0.11098404,0.075412452,53
430,,,,,
431,118.0,2MASSW J1515008+484742 [de],0.10173537,0.054411516,34
432,,,,,
433,119.0,2MASSI J1526140+204341 [de],0.10070774,0.051547752,67
434,,,,,
435,120.0,DENIS-P J153941.96-052042.4 [de],0.102763,0.060139044,51
436,,,,,
437,121.0,2MASS J15462718-3325111 [de],0.09659722,0.042001872,37
438,,,,,
439,122.0,2MASSW J1552591+294849 [de],0.14695109,0.02863764,68
440,,,,,
441,123.0,2MASSW J1555157-095605 [de],0.10584589,0.067775748,44
442,,,,,
443,124.0,2MASS J16150413+1340079 [de],0.09659722,0.040092696,48
444,,,,,
445,125.0,SDSSp J162414.37+002915.6 [de],0.09659722,0.041047284,36
446,,,,,
447,126.0,2MASS J16262034+3925190 [de],0.10584589,0.067775748,110
448,,,,,
449,127.0,2MASSW J1632291+190441 [de],0.09968011,0.046774812,50
450,,,,,
451,128.0,WISEPA J164715.59+563208.2,0.09659722,0.039138108,28
452,,,,,
453,129.0,LSPM J1658+7027 [de],0.10687352,0.069684924,60
454,,,,,
455,130.0,2MASSI J1726000+153819,0.1438682,0.022910112,114
456,,,,,
457,131.0,SDSSp J175032.96+175903.9,0.09968011,0.044865636,90
458,,,,,
459,132.0,2MASS J18283572-4849046,0.09762485,0.04295646,39
460,,,,,
461,133.0,LSR J1835+3259,0.10995641,0.073503276,18.5
462,,,,,
463,134.0,2MASSW J1841086+311727,0.10379063,0.063957396,138
464,,,,,
465,135.0,2MASS J18432213+4040209,0.12537086,0.091640448,46
466,,,,,
467,136.0,2MASS J20004841-7523070,0.19319444,0.0238647,105
468,,,,,
469,137.0,SDSS J204749.61-071818.3,0.09865248,0.043911048,65
470,,,,,
471,138.0,2MASSI J2057540-025230,0.10481826,0.06682116,47
472,,,,,
473,139.0,2MASSI J2104149-103736,0.10481826,0.065866572,62
474,,,,,
475,140.0,PSO J318.5−22,0.15722739,0.006204822,80
476,,,,,
477,141.0,HB 2124-4228,0.12434323,0.089731272,113
478,,,,,
479,142.0,2MASS J21392676+0220226,0.09865248,0.043911048,32.1
480,,,,,
481,143.0,2MASS J21481628+4003593,0.10173537,0.05250234,26.3
482,,,,,
483,144.0,2MASSW J2206450-421721,0.13667479,0.021000936,93
484,,,,,
485,145.0,2MASSW J2208136+292121,0.14489583,0.025773876,154
486,,,,,
487,146.0,2MASSW J2224438-015852,0.10173537,0.058229868,38
488,,,,,
489,147.0,2MASS J22282889-4310262,0.09659722,0.040092696,35
490,,,,,
491,148.0,2MASS J22373255+3922398,0.10687352,0.069684924,64
492,,,,,
493,149.0,2MASSW J2244316+204343,0.13256427,0.011455056,56
494,,,,,
495,150.0,2MASS J23224684-3133231,0.14284057,0.022910112,56
496,,,,,
497,151.0,2MASS J23225299-6151275,0.16339317,0.016227996,148
498,,,,,
499,152.0,2MASS J23515044-2537367,0.11920508,0.084003744,67
500,,,,,
501,153.0,2MASSI J2356547-155310,0.11201167,0.07636704,74
502,,,,,
503,154.0,WISE 0410+1502,0.12023271,0.005727528,20
504,,,,,
505,155.0,WISE 0458+6434A,0.4316046,0.01431882,35.9
506,,,,,
507,156.0,WISE 0458+6434B,0.3904994,0.00954588,35.9
508,,,,,
509,157.0,WISE 1405+5534,0.08837618,0.02863764,25.3
